	Supplementary table 2_4: GO results of N-RNA (GO groups shown in Figure 2.2)						
BP:GO - Negatively correlated human-specific genes (n = 3,788)	4.7E-03	52	324	1.88	GO:0002263 cell activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002263	IL23A,CRACR2A,DYSF,SYK,FES,IFNE,CD177,IFI35,CEACAM1,IL12B,MAD2L2,NMI,LCP1,ANXA3,CD19,SPHK2,PRKCZ,RORA,IL4R,THOC1,RIF1,TREM2,RELB,CBL,POU2AF1,PTPN6,SWAP70,DOCK2,TLR4,IRF4,SLC15A4,NFKBIZ,IL18,ZBTB7B,ZC3H12A,CLEC4D,STAT6,PTAFR,SOCS5,CLCF1,SEMA4A,PLCG2,STXBP2,STXBP3,ICAM1,SNAP23,ADGRE2,KIT,GRN,EIF2AK4,LGALS3,PIK3CD
	4.7E-03	52	320	1.92	GO:0002366 leukocyte activation involved in immune response	http://amigo.geneontology.org/amigo/term/GO:0002366	IL23A,CRACR2A,DYSF,SYK,FES,IFNE,CD177,IFI35,CEACAM1,IL12B,MAD2L2,NMI,LCP1,ANXA3,CD19,SPHK2,PRKCZ,RORA,IL4R,THOC1,RIF1,TREM2,RELB,CBL,POU2AF1,PTPN6,SWAP70,DOCK2,TLR4,IRF4,SLC15A4,NFKBIZ,IL18,ZBTB7B,ZC3H12A,CLEC4D,STAT6,PTAFR,SOCS5,CLCF1,SEMA4A,PLCG2,STXBP2,STXBP3,ICAM1,SNAP23,ADGRE2,KIT,GRN,EIF2AK4,LGALS3,PIK3CD
	4.7E-03	109	717	1.55	GO:0006873 cellular ion homeostasis	http://amigo.geneontology.org/amigo/term/GO:0006873	CALCR,TBXA2R,ATP2C1,SLC9A7,TRPC5,ATP12A,FTL,SLC8B1,ATP4A,HAMP,TFR2,CALCA,TRPV4,SLC4A9,SLC8A2,PKD2,EDN3,MT1G,GPR18,PTGER2,C5AR2,TMEM165,TRPC6,SLC39A5,TRPM2,ATP1B1,FATE1,CACNA1B,SLC34A2,ATP13A2,CD52,MT1E,SLC30A1,FPR2,ADRA1D,ATP2A2,GPR4,ATP6V0A2,MT1X,NPSR1,FPR3,SLC34A3,MT1H,MT1HL1,AKAP5,FLNA,RYR2,SLC4A11,RHAG,GLP1R,MYC,FGF2,XCL1,LCN2,KCNMA1,SCNN1G,CXCL11,CD19,LACC1,GRIN2A,CD55,ENPP1,PLCG2,TUNAR,CD38,HEXB,PIK3CB,CYBA,MCOLN3,ATG5,GNA15,TMEM38A,TRPM7,HIF1A,SLC9A3R1,PTPN6,ACO1,HVCN1,APOE,SCO1,SWAP70,LHCGR,METTL21C,SYPL2,MCOLN2,JPH3,GHRL,SV2A,SPINK1,GRIK2,CACNB2,CLIC4,KCNE3,BOK,TMEM64,MAFG,GRN,DIAPH1,RAB39A,HEPHL1,CACNA2D1,TESMIN,P2RX2,CP,NOS1,JPH1,FLVCR1,LPAR3,S1PR3
	4.7E-03	114	769	1.51	GO:0030036 actin cytoskeleton organization	http://amigo.geneontology.org/amigo/term/GO:0030036	ARHGAP44,CAPG,LIMA1,NCKAP1,ROCK1,TESK2,WDR1,ACTN1,LLGL2,ADD2,CAPZB,CARMIL1,MYL9,PDLIM1,RND2,TRPV4,PHACTR2,DPYSL3,ARHGEF2,PLS1,CALD1,ARHGAP40,IQSEC2,DSTN,VIL1,DIAPH1,RHPN2,LCP1,PARVG,TPM1,IQGAP1,MINK1,MYO1F,ARHGEF19,IQGAP2,SH3KBP1,DIAPH2,PDLIM3,CARMIL2,XIRP2,CDC42EP3,SHROOM1,MYO1A,MYO5B,RHOH,CDC42BPG,SYNPO2,SSH3,RHOD,HCLS1,NEB,MYO6,SIGLEC15,CD2AP,WASHC2A,WASHC4,WASHC2C,ACTB,HCK,MYH14,MET,WASL,BST1,GHRL,KIT,F11R,KRT8,FLNA,EHD2,CNN2,GBA2,FAT1,TRPM7,SLC9A3R1,ALMS1,SDC4,PACSIN1,TRIP10,CNN1,KRAS,SWAP70,DOCK2,ABI1,TLN1,SPTBN5,ARHGAP26,PPARGC1B,BRAF,PRKCI,SEMA3E,TACSTD2,SIPA1L1,MYH6,ATP2C1,ARFGEF1,FERMT2,MAD2L2,TEK,TRPM2,CLDN3,ARHGAP12,FES,SMIM22,USH1C,SFRP1,MYL2,FGD4,PAWR,FGD6,SHTN1,ARHGEF15,ANKRD1,ADRA2A,PRKG1
	4.7E-03	125	867	1.47	GO:0055082 cellular chemical homeostasis	http://amigo.geneontology.org/amigo/term/GO:0055082	CALCR,TBXA2R,ATP2C1,SLC9A7,TRPC5,ATP12A,FTL,SLC8B1,ATP4A,HAMP,TFR2,CALCA,TRPV4,SLC4A9,SLC8A2,PKD2,EDN3,MT1G,GPR18,PTGER2,C5AR2,TMEM165,TRPC6,SLC39A5,TRPM2,ATP1B1,FATE1,CACNA1B,SLC34A2,ATP13A2,CD52,MT1E,SLC30A1,FPR2,ADRA1D,ATP2A2,GPR4,ATP6V0A2,MT1X,NPSR1,FPR3,SLC34A3,MT1H,MT1HL1,AKAP5,FLNA,RYR2,SLC4A11,HIF1A,RHAG,GLP1R,MYC,FGF2,XCL1,CLTRN,LCN2,KCNMA1,SCNN1G,CXCL11,CD19,LACC1,GRIN2A,CD55,ENPP1,PLCG2,TUNAR,GCLC,CD38,GCLM,HEXB,PIK3CB,CYBA,MCOLN3,ATG5,GNA15,TMEM38A,ICAM1,TRPM7,TREM2,SIRT1,FGF21,SLC9A3R1,PTPN6,STXBP3,GPR68,ACO1,HVCN1,NR1D1,APOE,SCO1,SWAP70,LHCGR,METTL21C,SYPL2,ADRA2A,MCOLN2,JPH3,GHRL,SV2A,KLF15,SPINK1,GRIK2,CACNB2,CLIC4,FOXA3,KCNE3,BOK,TMEM64,IRS2,MAFG,GRN,DIAPH1,RAB39A,HEPHL1,SCTR,GPLD1,CACNA2D1,TESMIN,P2RX2,CP,NOS1,JPH1,FLVCR1,LPAR3,S1PR3
	4.7E-03	134	1089	1.45	GO:0032101 regulation of response to external stimulus	http://amigo.geneontology.org/amigo/term/GO:0032101	GRN,RORA,TREM2,SERPINE1,PLAU,PTPN22,SEMA6D,PARP9,HERC5,NLRC5,XCL1,SUSD4,GHRL,IFI16,KLK5,SEMA4C,SEMA3E,S100A14,SEMA4A,IL23A,IL12B,APOE,TLR4,IL18,MAPK13,TLR3,LTF,CYBA,ATG5,IFI35,FGFR1,F11,NFKBIA,RNF125,TLR8,BST1,CYP27B1,EDN3,APOBEC3F,F12,EMILIN2,OASL,FGF2,SLC15A4,BRD4,KLK3,PLA2G7,SERPING1,CD109,ZC3H12A,KLKB1,FPR2,HPSE,NLRP6,RXRA,HEXIM1,CD55,C2CD4B,TBXA2R,SLC8B1,IRAK3,TYRO3,COCH,ACP5,HAMP,DVL1,TRPV4,SH2B3,TRIM38,ARTN,NMI,CXCL6,GPR18,TNFSF14,NR1D1,IRF3,ZFP36,SOX15,SWAP70,KIAA0319,TNFRSF11A,VAV1,ADAM8,GRID2,BRAF,ADAR,NPY5R,SYK,NDEL1,SOCS5,CEBPB,NR1D2,PTPN2,NUPR1,GPR4,LACC1,NRXN1,TBK1,YTHDF3,FLNA,PLCG2,LRIG2,CEBPA,IL37,DTX3L,PVR,UBE2K,CEACAM1,MET,ADTRP,SASH1,C5AR2,NFKBIZ,MFHAS1,CLDN3,STX3,SERPINB9,PRKG1,ILRUN,SIGLEC10,EIF2AK4,SPX,EP300,MMP9,HCK,XIAP,PTPN6,TEK,RHBDF2,GUCY2D,CAMKMT,YES1,PTPN11,PLA2G2A
	4.7E-03	196	2190	1.35	GO:0006955 immune response	http://amigo.geneontology.org/amigo/term/GO:0006955	LTF,TNK2,IL4R,HCK,TLR8,RELB,TRIM14,UNC93B1,IL23A,FRK,TRIM38,IFIH1,CR2,CXCL6,IL37,CRACR2A,THEMIS2,PTPN22,C5AR2,DYSF,TLR4,CTSV,PARP9,NLRC5,IFITM3,XCL1,SUSD4,TNFRSF21,ICOSLG,GBP4,IFI16,CXCL3,PF4,OTUD4,SYK,BTNL9,CLEC4D,KLK5,BTNL3,CXCL11,FPR2,NRROS,YES1,CD19,FES,IFNE,FPR3,S100A14,CD55,CR1L,CD177,NFAM1,BST1,MAD2L2,PIK3R5,PIK3CD,C1QA,TBK1,GRN,CYBA,IFI35,PVR,CEACAM1,TGFB2,SIRT1,RNF125,CYP27B1,GPLD1,IL12B,ZP4,NMI,IRF3,APOBEC3F,GCH1,SERINC3,OASL,LCP1,CH25H,ANXA3,SLC15A4,KLK3,SERPING1,IL18,KIT,FZD5,ZC3H12A,TLR3,SERPINB9,NLRP6,LACC1,H2BC4,HEXIM1,PLCG2,HMGB3,PRDM1,ATG5,SPHK2,PRKCZ,RORA,THOC1,RIF1,ICAM1,IRAK3,CD209,TYRO3,TREM2,COCH,NFKBIA,ACP5,FCER2,TMEM33,CBL,SLC15A3,POU2AF1,PTPN6,STXBP3,ARHGEF2,PRG4,CD48,CLU,TNFSF14,EIF2AK4,APOE,LGALS3,SFTPD,SWAP70,DOCK2,IRF4,HERC5,VAV1,SIGLEC10,NFKBIZ,MFHAS1,LCN2,ADAM8,MCOLN2,BRAF,ZBTB7B,ADAR,SLC15A2,DTX3L,NPY5R,STAT6,MAP4K2,PTAFR,ALCAM,SOCS5,PTPN2,CLCF1,PAWR,APOBEC3B,SSC5D,ADGRB1,MX2,YTHDF3,LITAF,IL1RAP,SEMA4A,ILRUN,MAP3K5,ENPP1,LGR4,TNFSF12,APOBEC3D,APOBEC3C,MRC1,STXBP2,CD38,PRKCH,UBE2K,SNAP23,BMPR1A,RAB29,AKAP1,NR1D1,ADGRE2,TNFRSF11A,CERT1,ITGAD,TREML1,MAPK9,LY75,MADCAM1,EP300,XIAP,EBI3,HAMP,RHBDF2,F12,BANK1,CEBPB,PTPN11,ATP6V0A2,CLEC2A,MBP,SIPA1
	4.7E-03	378	3356	1.23	GO:0065009 regulation of molecular function	http://amigo.geneontology.org/amigo/term/GO:0065009	DBNDD1,CASP10,GCLM,DCUN1D1,PPP1R12A,TBC1D22B,EPHA8,FGFR1,TRAF5,DOCK9,NOS1,IRAK3,TYRO3,RFFL,EPPIN,VAC14,CACNG7,SCN1B,MET,SERPINE1,TRIM14,TRIM37,PPP6R3,CBL,IL23A,SASH1,TRIM38,DLGAP3,RAB3GAP2,TEK,CAAP1,TBC1D15,KCNS1,EDN3,ATG14,SPINK2,CRACR2A,APOE,APOC1,OASL,PKIB,UACA,LHCGR,FGF2,PIK3R5,TNFRSF11A,STAC2,VAV1,CBLC,CACNG8,ARHGEF19,XCL1,CRHBP,SERPING1,KCNE4,PPARGC1B,TIMP4,KIT,FGFR4,TGFA,CCNYL1,SLMAP,LMTK2,ARHGAP12,CACNB2,SGSM1,ANKRD33,KCNAB1,NR0B1,SERPINB9,DLGAP1,CYCS,KCNE3,AKAP5,LPAR5,ROR1,HEXIM1,SPRY4,IL1RAP,SIPA1L1,STYX,ARHGEF15,RASGEF1A,LGR4,RGL3,SIPA1,SHISA8,DBNDD2,LGALS3,ALS2,LTF,DDX11,CAPN1,CD44,VMP1,SPHK2,ARFGEF1,ROCK1,GNB5,ADD2,PIAS2,TESC,TGFB2,TREM2,SIRT1,EP300,TCL1A,NFKBIA,MMP9,XIAP,FCER2,NPTX2,DVL1,CALCA,CAPRIN2,CYP27B1,GLI1,PERP,IL12B,PRLR,RAD50,ARHGEF2,MAD2L2,CTSD,PLAU,BMP4,GCH1,TLR4,DSCC1,MYC,TRPC6,PARP9,ANXA3,PIF1,NLRC5,ATP1B1,TCF7L2,ADRA2A,IL18,HHEX,UCHL1,BUB3,PROM2,BUB1B,S100A1,ADAR,LRRC38,PRKCI,IFI16,DTX3L,ZC3H12A,TERT,WRN,ARHGAP42,NETO1,A2ML1,NKX3-1,RHEBL1,PSCA,MAP4K2,COL4A3,SOCS5,SYNPO2,PDE3A,JUP,SFN,BDNF,ZBTB7A,NRXN1,SOCS4,LYNX1,SOX2,ANO9,PTPRT,ILRUN,FLNA,ANXA4,MAP3K5,TOPORS,MBP,WWP2,RYR2,NFAM1,ADRA2B,TBXA2R,ARHGAP44,ANOS1,ARAP2,GUCA1A,PIK3CB,CYBA,TNK2,PRKCZ,PSME4,LLGL2,PPP2R2C,ACTB,HIF1A,PPP4R3A,ANGPT4,PPP1R16B,RENBP,SFRP1,PPP2CB,WASL,BMPR1A,RGS9,SLC9A3R1,SH2B3,PTPN6,CCNC,PHACTR2,ACVR2B,LEPR,CTH,RCAN3,SLC8A2,PKD2,DENND10,SOCS2,CCZ1,RAP2C,ARHGAP40,SDC4,IQSEC2,SH2D3A,TNFSF14,MMP24,BECN1,HSPA2,RAB3IP,SYNGR3,VIL1,ZFP36,GALR3,RHBDF2,ARHGEF6,EPS8L1,SWAP70,MBD2,NGF,DOCK2,ABI1,IRF4,PI15,FGD4,BNIP2,IQGAP1,GAS8,DNMT3L,IQGAP2,ARHGAP26,STOM,TBX6,MTMR12,ADAM8,SAV1,HOMER1,RANBP2,PPP2R5E,JPH3,AZIN1,PPP2R2B,CD109,COX6A2,GHRL,UBE2Z,ATP13A2,DENND2D,FZD5,TAFA4,PCOLCE2,ADGRV1,SPINK1,TLR3,INTS1,SYK,SPINT1,NDEL1,CLPX,ELFN2,DUS2,RAB3IL1,RHOH,RGS14,PTAFR,CALML6,USP50,CST1,PDZD3,RHOD,WFIKKN2,AGFG1,PCP2,NLRP6,CST6,PTPN2,NUPR1,BOK,EPS8L2,CD19,RABEP2,ALS2CL,FGD6,TMEM64,PDE6G,IRS2,CHM,ALKAL1,MYH6,INKA2,PLCG2,ITSN2,CHML,AGAP6,SPDYC,PLIN5,FNIP1,TEN1,CLTRN,DPEP1,PRKCH,GRN,PNKP,PPP2R5A,FERMT2,CDC14B,MAPKAPK5,ITGA6,GSKIP,HCK,CLU,ACVR1C,PLAAT4,LARS1,PTPN22,COX17,CARD14,RSU1,F11R,CLDN3,NSD1,PIP4K2C,FEM1B,AR,ATP2A2,HCLS1,PRKG1,CLDN4,NPTXR,CALCR,CEACAM1,CHRNA3,GPLD1,SLC22A2,EIF2AK4,TMBIM1,TPM1,MINK1,BICD1,CACNA2D1,MYL3,FPR2,ZNF431,ENPP1,TNFRSF10A,FGF21,MAPK9,GNA15,JPH1,GLP1R,SGK1,PKMYT1,PLCB2,HERC5,GRIN2A,RXRA,CEBPA
	4.7E-03	468	4103	1.20	GO:0065008 regulation of biological quality	http://amigo.geneontology.org/amigo/term/GO:0065008	LTF,ACTB,VCL,MYL9,TLN1,FLNA,CALCR,TBXA2R,ARHGAP44,PROM1,ATP2C1,SAMD4A,CAPG,CP,UTS2,GNA15,SLC9A7,WDR1,TRPC5,ADD2,ATP12A,STXBP2,CTTNBP2,CAPZB,CHRNA3,ATP8B1,FTL,SLC4A11,SLC8B1,NOS1,TRPM7,TYRO3,SNAP23,KCNK6,TNRC6B,ACP5,CRYM,PIEZO1,GSR,TJP3,CACNG7,ATP4A,HAMP,SCN1B,TFR2,CHRNE,RND2,CALCA,VWF,TRPV4,RHAG,GLP1R,SLC4A9,STXBP3,CHRNB4,SLC8A2,PKD2,TJP2,PLAU,ARHGAP40,EDN3,KCNK17,MT1G,GPR18,PTGER2,PROZ,VIL1,ADM2,VGF,AANAT,F12,SFTPD,NGF,C5AR2,TMEM165,ABHD17C,TRPC6,SEMA6D,FASTKD1,SLC39A5,MCTP2,TNFRSF11A,TRPM2,CACNG8,KLK3,ATP1B1,RAB5A,CRHBP,FATE1,CACNA1B,SLC25A4,KCNE4,BOLL,PAN3,CARHSP1,JPH3,GNA14,KCNMA1,GHRL,SYN2,SLC34A2,F11R,ATP13A2,TREML1,FLVCR1,CDC42EP3,GABRG1,SLMAP,PLSCR2,ZC3H12A,SYK,SUGT1,NETO1,TAC3,STX3,KLK2,RHOH,SEMA4C,CD52,MT1E,SEMA3E,SLC30A1,FPR2,ADRA1D,DCP2,SSH3,RHOD,ATP2A2,ANGEL2,KCNE3,RIMS2,BDNF,GPR4,AGTRAP,SAMD4B,MEIOC,HCLS1,HEPHL1,GRIN2A,ATP6V0A2,YTHDF3,MT1X,NPSR1,FPR3,PLEKHN1,GABRD,AKR1C3,SEMA4A,ASMT,SIGLEC15,SLC34A3,MT1H,FASTKD5,SHISA8,MT1HL1,HIF1A,SERPINE1,ATG14,EMILIN2,SCNN1G,AKAP5,RYR2,GCLC,UPF1,USP2,LIMA1,ABCA7,UBE2K,F11,TESC,SIRT1,TCL1A,SFRP1,DVL1,CYP27B1,SLC22A2,CLU,LRAT,INHBA,AGO2,IQSEC2,ZFP36,APOE,RAMP2,HSD17B4,MYC,FGF2,RDH12,XCL1,ECE2,SLC22A3,NLGN4X,CLTRN,LCN2,TCF7L2,PLCB3,CARMIL2,SQSTM1,PF4,KLKB1,TERT,NKX3-1,PIP5KL1,RAB3B,CXCL11,WASHC2C,HPSE,CD19,LACC1,CHEK2,RNLS,CYP26C1,CD55,MME,ENPP1,MYH6,PLCG2,MBP,WWP2,MAFB,C2CD4B,TRIM71,TUNAR,ICA1,CD38,IL20RA,GCLM,HEXB,PIK3CB,CYBA,ENTPD2,MCOLN3,ATG5,VMP1,SEZ6,DGKA,PRKCZ,ROCK1,RORA,GBA2,TMEM38A,FERMT2,NOX3,IL4R,CARMIL1,CADPS2,TRAF5,RPH3A,ICAM1,AARS1,FMO2,TREM2,UPK3A,EP300,PROCR,HRH3,XIAP,PPP1R13L,MYH14,FGF21,LSR,ASIC2,SLC9A3R1,SOD3,SH2B3,PTPN6,ACOT13,CERT1,PRLR,ACVR2B,STEAP3,LEPR,MPL,FAAH,GPR68,PRLHR,MYCT1,PLS1,SOCS2,ACO1,HVCN1,ACVR1C,CXCL6,BMP4,DSTN,NR1D1,STAT5A,SYNGR3,NXNL2,AKAP12,PIAS3,GCH1,SCO1,KRAS,LARS1,SWAP70,ANO3,WDR36,TLR4,KIAA0319,IRF4,SPTBN5,LHCGR,SLC15A4,METTL21C,DEF8,SYPL2,METTL14,SERPING1,GRIK4,DOC2A,ADRA2A,IL18,NOCT,THRB,ADAM8,SAV1,RBM46,GRID2,HOMER1,ZFP36L2,MCOLN2,PPARGC1B,KIT,BRAF,SV2A,ZBTB7B,ADAR,FBLIM1,DHRS3,RNF149,TAFA4,PRKCI,KLF15,NPY1R,SPINK1,GRIK2,CITED2,PDSS2,STEAP1,SLC18A2,ARHGAP42,CACNB2,LMO1,NDEL1,STAT6,CHRM1,NTSR2,AR,RGS14,PTAFR,CLIC4,FOXA3,TTLL6,LPAR3,CEBPB,SYT12,NR1D2,NLRP6,PTPN2,SFN,MEX3C,FOXC2,BOK,ZBTB7A,PTPN11,HTR1D,NRXN1,TMEM64,ADGRB1,CSMD1,KCND2,ANO9,PRKG1,IRS2,THBS2,P2RX2,IL1RAP,IARS1,NCOR2,MAFG,SPG7,TMPRSS11F,ARHGEF15,LGR4,GRID2IP,IFI30,CEBPA,GJA5,ADRA2B,ALS2,VAV1,USH1C,ZNF207,GRN,DSG2,ARFGEF1,CHMP2B,COCH,HCK,FA2H,MET,SH3GL2,CAPRIN2,ADTRP,TENT4B,STRIP2,DIAPH1,RNF128,USP8,TPM1,SH3KBP1,MFHAS1,CACNA2D1,LARP1,MYL3,SLC1A7,SENP2,ADGRV1,CLDN3,TPP1,PIK3CD,PDE3A,JUP,RAB39A,USH1G,FES,CLDN4,NCKAP1,CEACAM1,SCTR,MYL2,CREBL2,GPLD1,ALMS1,EIF2AK4,SPX,FGD4,OCIAD2,FGFR4,ACOT11,LARGE2,KSR2,FGD6,SHTN1,PLA2G2A,SIPA1L1,DHRS2,TNFSF14,TESMIN,MALL,DEDD2,NEB,S100A14,RENBP,JPH1,SLC38A1,SGK1,TEK,NFE2,ENTPD1,PLA2G7,FLI1,MYO5B,JMJD1C,RARG,YES1,S1PR3
	5.2E-03	97	615	1.55	GO:0003013 circulatory system process	http://amigo.geneontology.org/amigo/term/GO:0003013	TBXA2R,UTS2,NOS1,TJP3,SCN1B,MYL7,MYL2,GLP1R,TJP2,EDN3,ADM2,TPM1,KLK3,KCNE4,KCNMA1,MYL3,TAC3,KLK2,ADRA1D,ATP2A2,KCNE3,AGTRAP,EMILIN2,SCNN1G,FLNA,RYR2,TGFB2,CALCA,APOE,RAMP2,PLCB3,RNLS,MYH6,C2CD4B,GJA5,CD38,CYBA,ATG5,ROCK1,TMEM38A,FERMT2,KCNK6,PPP1R13L,ASIC2,SOD3,TRPV4,FAAH,AKAP12,GCH1,ATP1B1,ADRA2A,THRB,FLI1,GHRL,S100A1,ZC3H12A,NPY1R,ARHGAP42,AR,PTAFR,FOXC2,GPR4,HTR1D,PRKG1,P2RX2,ADRA2B,GCLC,GCLM,DSG2,SH3GL2,CACNA2D1,CACNB2,PDE3A,JUP,CEACAM1,SPX,SLC7A2,ABCC3,SLC9A3R1,SLC38A1,SLC22A2,LEPR,SLC8A2,SLC38A2,SLC22A3,SLC2A13,SLC16A12,SLC13A3,SLC15A2,SLC7A3,RENBP,SGK1,TEK,SERPING1,COL4A3,HSPB7,YES1
	5.2E-03	115	1054	1.48	GO:0050776 regulation of immune response	http://amigo.geneontology.org/amigo/term/GO:0050776	TLR8,UNC93B1,IL23A,CR2,THEMIS2,PTPN22,C5AR2,TLR4,PARP9,NLRC5,SUSD4,ICOSLG,IFI16,OTUD4,SYK,BTNL9,KLK5,BTNL3,FPR2,CD19,FES,FPR3,S100A14,CD55,CR1L,CD177,NFAM1,XCL1,C1QA,GRN,CYBA,IFI35,PVR,CEACAM1,SIRT1,RNF125,GPLD1,IL12B,IFIH1,MAD2L2,ZP4,IRF3,OASL,SLC15A4,KLK3,SERPING1,IL18,KIT,FZD5,ZC3H12A,TLR3,LACC1,HEXIM1,PLCG2,ATG5,SPHK2,PRKCZ,IL4R,THOC1,RIF1,IRAK3,TYRO3,TREM2,COCH,NFKBIA,FCER2,SLC15A3,PTPN6,CD48,CLU,NMI,APOE,IRF4,VAV1,NFKBIZ,TNFRSF21,MFHAS1,ADAM8,BRAF,ZBTB7B,ADAR,NPY5R,CLEC4D,STAT6,PTAFR,SOCS5,NLRP6,PTPN2,CLCF1,PAWR,TBK1,YTHDF3,LGR4,CD38,LTF,PRKCH,UBE2K,RAB29,NR1D1,ADGRE2,SERPINB9,STXBP2,TGFB2,EIF2AK4,LGALS3,SLC15A2,MAPK9,EP300,HCK,XIAP,RHBDF2,BANK1,PIK3CD,YES1,PTPN11
	5.2E-03	124	857	1.46	GO:0030029 actin filament-based process	http://amigo.geneontology.org/amigo/term/GO:0030029	ARHGAP44,CAPG,LIMA1,NCKAP1,ROCK1,TESK2,WDR1,ACTN1,LLGL2,ADD2,CAPZB,CARMIL1,MYL9,SCN1B,WASL,PDLIM1,RND2,TRPV4,PHACTR2,DPYSL3,ARHGEF2,PLS1,CALD1,ARHGAP40,IQSEC2,DSTN,VIL1,DIAPH1,RHPN2,LCP1,PARVG,TPM1,IQGAP1,MINK1,MYO1F,ARHGEF19,IQGAP2,SH3KBP1,DIAPH2,KCNE4,PDLIM3,CARMIL2,XIRP2,CDC42EP3,SHROOM1,MYO1A,MYO5B,RHOH,CDC42BPG,SYNPO2,SSH3,RHOD,KCNE3,HCLS1,NEB,MYO6,SIGLEC15,CD2AP,WASHC2A,WASHC4,WASHC2C,FLNA,CNN2,ACTB,HCK,MYH14,MET,BST1,GHRL,KIT,F11R,KRT8,EHD2,GBA2,FAT1,TRPM7,SLC9A3R1,ALMS1,SDC4,PACSIN1,TRIP10,CNN1,KRAS,SWAP70,DOCK2,ABI1,TLN1,SPTBN5,ARHGAP26,PPARGC1B,BRAF,PRKCI,SEMA3E,TACSTD2,SIPA1L1,MYH6,RYR2,ATP2C1,DSG2,ARFGEF1,FERMT2,MAD2L2,TEK,TRPM2,CACNA2D1,CLDN3,ARHGAP12,CACNB2,JUP,FES,GJA5,SMIM22,USH1C,SFRP1,MYL2,FGD4,ATP2A2,PAWR,FGD6,SHTN1,ARHGEF15,ANKRD1,ADRA2A,PRKG1
	5.2E-03	126	1032	1.45	GO:0034097 response to cytokine	http://amigo.geneontology.org/amigo/term/GO:0034097	IL20RA,IL4R,TRAF5,IRAK3,RELB,EBI3,IL12B,PRLR,LEPR,MPL,CXCL6,IL37,STAT5A,IL15RA,PARP9,NLRC5,TNFRSF11A,IFITM3,IL22RA1,XCL1,TIMP4,KIT,GBP4,IFI16,CXCL3,PF4,OTUD4,STAT6,CXCL11,IFNE,CSF2RA,TBK1,UPF1,MAP4K3,TREM2,SIRT1,HIF1A,TCL1A,NFKBIA,XIAP,SFRP1,CYP27B1,SH2B3,ZFP36,GCH1,TLR4,CH25H,CRHBP,TNFRSF21,ANKRD1,IL18,ZFP36L2,MAPK13,ADAR,HIPK1,ZC3H12A,NLRP6,MX2,RUFY4,PTPRT,MME,CEBPA,GCLC,CD38,GCLM,CD44,CYBA,IL17RB,PFKP,RORA,RIF1,ICAM1,RNF125,KLF5,ACP5,ASAH1,HAMP,CALCA,KRT18,ADAM23,STXBP3,CTH,HELLS,LRAT,NMI,NR1D1,IRF3,AANAT,AKAP12,GFPT2,PIAS3,OASL,PRDM5,NUP35,PRKCI,PCOLCE2,TLR3,SYK,SOCS5,CEBPB,RARG,PTPN2,YTHDF3,SPRY4,IL1RAP,MAP3K5,MBP,MRC1,NKX3-1,MT1X,PPP2CB,UBE2K,ZFAND6,RFFL,IFIH1,CARD14,KRT8,HCLS1,CEACAM1,DPYSL3,ARHGEF2,CLCF1,HCK,CBL,PTPN6,PTPN11
	5.2E-03	168	1274	1.37	GO:0006812 cation transport	http://amigo.geneontology.org/amigo/term/GO:0006812	SLC7A2,LTF,ATP2C1,CP,PRSS8,SLC9A7,TRPC5,PANX2,ATP12A,SLC8B1,TRPM7,KCNK6,HRH3,NIPAL2,CACNG7,ATP4A,HAMP,SCN1B,TFR2,ASIC2,TRPV4,RHAG,SLC22A2,KCNC4,SLC19A2,SLC8A2,PKD2,TRPM6,FLVCR2,KCNS1,KCNK17,SLC25A19,CRACR2A,DPP6,SLC7A10,KCNC3,RAMP2,LGALS3,SYT6,TMEM165,TRPC6,SLC39A5,STAC2,TRPM2,CACNG8,ATP1B1,CACNA1B,KCNE4,HOMER1,SLC5A10,FLVCR1,SLMAP,SLC7A3,SLC39A2,CACNB2,SCNN1G,KCNAB1,SLC30A1,KCNS3,KCNG3,SYT12,ATP2A2,KCNE3,HEPHL1,OTOP2,KCND2,SLC36A2,NPSR1,CATSPER4,SLC25A29,CNGA1,SYT3,SHISA8,AKAP5,GRIN2A,ATP6V0A2,FLNA,RYR2,VMP1,GNB5,SLC4A11,TESC,MMP9,CALCA,HVCN1,FGF2,XCL1,SLC22A3,CACNA2D1,KCNMA1,LRRC38,NETO1,RAB3B,CXCL11,CD19,PLCG2,WWP2,SLC34A3,CYBA,MCOLN3,ATG5,SPHK2,TMEM38A,FTL,TREM2,PIEZO1,CHRNE,SLC9A3R1,SLC15A3,CYP27B1,SLC38A1,PTPN6,SLC4A9,VPS4B,EDN3,HSPA2,SERINC3,PTPN22,SLC38A2,SLC19A3,LHCGR,SLC15A4,METTL21C,SLC13A5,STOM,SLC25A4,MCOLN2,JPH3,COX6A2,CACNA2D3,SLC34A2,SLC13A3,PKD1L1,ATP13A2,SLC15A2,SPINK1,SYK,SLC18A2,CYB5A,PKD1L2,MFSD3,SLC33A1,TMEM37,ZDHHC13,SLC38A9,SLC25A18,TCN2,P2RX2,GJA5,CALCR,CLTRN,SNAP23,EPPIN,DIAPH1,COX17,CLTC,LMTK2,CHRNA3,NOS1,MINK1,CRHBP,LCN2,ADRA2A,NRXN1,CAPN1,JPH1,STEAP3,SGK1
